"","X","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"2221",2221,"SPD",0.175257731958763,0.230769230769231,0.266666666666667,1.9,0.475,0.288135593220339,0.411764705882353,0.602836879432624,0.393939393939394,"H",2.1,3.3,3.5
"2224",2224,"SPD",0.216494845360825,0.192307692307692,0.4,1.13333333333333,0.45,0.423728813559322,0.647058823529412,0.617021276595745,0.303030303030303,"D",2.1,3.3,3.5
"2225",2225,"SPD",0.22680412371134,0.153846153846154,0.133333333333333,0.6,0.5,0.288135593220339,0.411764705882353,0.531914893617021,0.545454545454545,"D",3.2,3.25,2.25
"2226",2226,"SPD",0.22680412371134,0.115384615384615,0.333333333333333,0.611111111111111,0.558333333333333,0.355932203389831,0.450980392156863,0.624113475177305,0.5,"H",2.15,3.25,3.4
"2227",2227,"SPD",0.371134020618557,0.346153846153846,0.666666666666667,0.444444444444444,0.525,0.440677966101695,0.470588235294118,0.695035460992908,0.333333333333333,"H",2.4,3.25,2.9
"2230",2230,"SPD",0.237113402061856,0.192307692307692,0.4,1.375,0.608333333333333,0.389830508474576,0.529411764705882,0.624113475177305,0.242424242424242,"H",1.57,3.75,6
"2231",2231,"SPD",0.443298969072165,0.384615384615385,0.8,0.133333333333333,0.641666666666667,0.559322033898305,0.529411764705882,0.48936170212766,0.303030303030303,"D",5.5,3.5,1.66
"2232",2232,"SPD",0.22680412371134,0.269230769230769,0.533333333333333,3.2,0.366666666666667,0.254237288135593,0.392156862745098,0.843971631205674,0.484848484848485,"A",1.9,3.2,4.5
"2233",2233,"SPD",0.278350515463918,0.307692307692308,0.733333333333333,0.421052631578947,0.45,0.322033898305085,0.686274509803922,0.631205673758865,0.242424242424242,"H",2.5,3.3,2.75
"2234",2234,"SPD",0.381443298969072,0.192307692307692,0.466666666666667,0.307692307692308,0.558333333333333,0.457627118644068,0.411764705882353,0.75177304964539,0.606060606060606,"H",2.62,3.2,2.7
"2235",2235,"SPD",0.0927835051546392,0.0769230769230769,0.133333333333333,1.17647058823529,0.416666666666667,0.23728813559322,0.470588235294118,0.709219858156028,0.333333333333333,"A",1.72,3.5,5
"2238",2238,"SPD",0.257731958762887,0.307692307692308,0.4,1.83333333333333,0.566666666666667,0.508474576271186,0.450980392156863,0.702127659574468,0.393939393939394,"D",2.25,3.3,3.1
"2239",2239,"SPD",0.0515463917525773,0.115384615384615,0.333333333333333,1.16666666666667,0.541666666666667,0.322033898305085,0.294117647058824,0.680851063829787,0.560606060606061,"D",2.5,3.2,2.75
"2240",2240,"SPD",0.268041237113402,0.153846153846154,0.466666666666667,1.28571428571429,0.383333333333333,0.271186440677966,0.392156862745098,0.75886524822695,0.590909090909091,"A",1.61,3.6,6
"2241",2241,"SPD",0.54639175257732,0.384615384615385,1,0.142857142857143,0.55,0.542372881355932,0.392156862745098,0.595744680851064,0.242424242424242,"H",5,3.75,1.66
"2242",2242,"SPD",0.206185567010309,0.269230769230769,0.4,1.72727272727273,0.491666666666667,0.355932203389831,0.411764705882353,0.673758865248227,0.378787878787879,"A",2.05,3.25,3.75
"2243",2243,"SPD",0.22680412371134,0.230769230769231,0.266666666666667,4.25,0.525,0.338983050847458,0.588235294117647,0.574468085106383,0.257575757575758,"D",1.5,4,7
"2248",2248,"SPD",0.278350515463918,0.0769230769230769,0.133333333333333,0.909090909090909,0.458333333333333,0.457627118644068,0.686274509803922,0.730496453900709,0.46969696969697,"A",2.25,3.3,3.2
"2249",2249,"SPD",0.268041237113402,0.230769230769231,0.333333333333333,4,0.466666666666667,0.305084745762712,0.450980392156863,0.617021276595745,0.393939393939394,"D",1.75,3.3,5.5
"2250",2250,"SPD",0.0515463917525773,0.230769230769231,0.333333333333333,0.764705882352941,0.566666666666667,0.372881355932203,0.549019607843137,0.595744680851064,0.333333333333333,"H",1.83,3.3,4.33
"2251",2251,"SPD",0.237113402061856,0.153846153846154,0.333333333333333,1.15384615384615,0.491666666666667,0.338983050847458,0.411764705882353,0.709219858156028,0.484848484848485,"H",1.83,3.4,4.5
"2253",2253,"SPD",0.402061855670103,0.384615384615385,0.466666666666667,0.176470588235294,0.525,0.423728813559322,0.411764705882353,0.617021276595745,0.212121212121212,"A",3.1,3.3,2.3
"2256",2256,"SPD",0.22680412371134,0.192307692307692,0.133333333333333,6.33333333333333,0.566666666666667,0.457627118644068,0.725490196078431,0.553191489361702,0.439393939393939,"A",1.61,3.6,6
"2257",2257,"SPD",0.329896907216495,0.230769230769231,0.866666666666667,0.583333333333333,0.416666666666667,0.254237288135593,0.509803921568628,0.73758865248227,0.454545454545455,"D",2,3.3,3.8
"2259",2259,"SPD",0.278350515463918,0.346153846153846,0.6,13,0.5,0.423728813559322,0.607843137254902,0.602836879432624,0.166666666666667,"H",1.3,5,10
"2260",2260,"SPD",0.391752577319588,0.192307692307692,0.466666666666667,0.833333333333333,0.55,0.389830508474576,0.470588235294118,0.773049645390071,0.560606060606061,"A",2.5,3.25,2.8
"2261",2261,"SPD",0.0824742268041237,0.307692307692308,0.533333333333333,0.533333333333333,0.558333333333333,0.338983050847458,0.431372549019608,0.539007092198582,0.439393939393939,"D",2.62,3.2,2.37
"2263",2263,"SPD",0.577319587628866,0.538461538461538,0.8,0.0714285714285714,0.608333333333333,0.677966101694915,0.529411764705882,0.48936170212766,0.303030303030303,"H",4.75,3.5,1.8
