"","X","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"6333",3694,"EPL",0.449438202247191,0.35,0.466666666666667,2.33333333333333,0.483050847457627,0.356164383561644,0.366666666666667,0.486238532110092,0.591836734693878,"H",1.4,5,9
"6340",3701,"EPL",0.438202247191011,0.7,0.533333333333333,0.444444444444444,0.88135593220339,0.808219178082192,0.816666666666667,0.394495412844037,0.285714285714286,"A",4.5,3.75,1.85
"6343",3704,"EPL",0.629213483146067,0.35,0.533333333333333,0.117647058823529,0.559322033898305,0.520547945205479,0.533333333333333,0.614678899082569,0.408163265306122,"A",7.5,4.5,1.44
"6347",3708,"EPL",0.449438202247191,0.25,0.466666666666667,0.875,0.474576271186441,0.506849315068493,0.333333333333333,0.440366972477064,0.204081632653061,"H",2.45,3.3,3.2
"6352",3713,"EPL",0.258426966292135,0.25,0.2,20,0.364406779661017,0.273972602739726,0.45,0.376146788990826,0.306122448979592,"H",1.17,9,19
"6357",3718,"EPL",0.370786516853933,0.3,0.4,3.5,0.483050847457627,0.452054794520548,0.516666666666667,0.477064220183486,0.36734693877551,"H",1.4,5,9
"6358",3719,"EPL",0.370786516853933,0.1,0.4,0.8,0.364406779661017,0.397260273972603,0.366666666666667,0.63302752293578,0.571428571428571,"D",2.05,3.5,4
"6361",3722,"EPL",0.258426966292135,0.15,0,4,0.330508474576271,0.219178082191781,0.416666666666667,0.412844036697248,0.346938775510204,"H",1.25,6.5,15
"6377",3738,"EPL",0.348314606741573,0.25,0.133333333333333,4,0.457627118644068,0.36986301369863,0.416666666666667,0.541284403669725,0.326530612244898,"H",1.36,5,11
"6380",3741,"EPL",0.337078651685393,0.35,0.6,0.947368421052632,0.576271186440678,0.616438356164384,0.6,0.504587155963303,0.285714285714286,"D",2.38,3.4,3.25
"6381",3742,"EPL",0.573033707865168,0.35,0.6,2,0.542372881355932,0.534246575342466,0.616666666666667,0.504587155963303,0.469387755102041,"D",2.2,3.4,3.6
