"","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"3049","EPL",0.528089887640449,0.45,0.666666666666667,0.388888888888889,0.516949152542373,0.479452054794521,0.483333333333333,0.55045871559633,0.408163265306122,"D",2.8,3.25,2.6
"3050","EPL",0.820224719101124,0.4,0.866666666666667,0.333333333333333,0.73728813559322,0.671232876712329,0.933333333333333,0.44954128440367,0.306122448979592,"H",2.5,3.25,2.88
"3051","EPL",0.370786516853933,0.15,0.266666666666667,1.26666666666667,0.415254237288136,0.342465753424658,0.566666666666667,0.614678899082569,0.408163265306122,"D",2.1,3.3,3.6
"3052","EPL",0.460674157303371,0.25,0.333333333333333,2,0.491525423728814,0.506849315068493,0.4,0.504587155963303,0.448979591836735,"H",1.44,4.33,7.5
"3053","EPL",0.359550561797753,0.15,0.0666666666666667,5,0.466101694915254,0.397260273972603,0.4,0.495412844036697,0.285714285714286,"H",1.4,4.5,9
"3054","EPL",0.393258426966292,0.3,0.333333333333333,1.63636363636364,0.491525423728814,0.452054794520548,0.366666666666667,0.513761467889908,0.36734693877551,"D",1.8,3.6,4.5
"3055","EPL",0.460674157303371,0.3,0.2,1.625,0.440677966101695,0.397260273972603,0.516666666666667,0.532110091743119,0.326530612244898,"A",1.83,3.5,4.5
"3056","EPL",0.696629213483146,0.4,0.6,0.571428571428571,0.516949152542373,0.479452054794521,0.383333333333333,0.486238532110092,0.530612244897959,"H",2.7,3.2,2.7
"3057","EPL",0.438202247191011,0.25,0.333333333333333,1.25,0.338983050847458,0.26027397260274,0.2,0.458715596330275,0.387755102040816,"H",1.91,3.4,4.2
"3058","EPL",0.393258426966292,0.15,0.133333333333333,3.4,0.550847457627119,0.465753424657534,0.433333333333333,0.532110091743119,0.244897959183673,"D",1.3,5.5,10
"3059","EPL",0.426966292134831,0.1,0.333333333333333,0.8,0.466101694915254,0.315068493150685,0.333333333333333,0.532110091743119,0.551020408163265,"D",1.95,3.6,3.8
"3060","EPL",0.786516853932584,0.6,1,2,0.754237288135593,0.712328767123288,0.55,0.440366972477064,0.204081632653061,"H",2.38,3.25,3.1
"3061","EPL",0.752808988764045,0.45,0.533333333333333,0.333333333333333,0.567796610169491,0.424657534246575,0.533333333333333,0.587155963302752,0.489795918367347,"H",5.5,3.75,1.67
"3062","EPL",0.48314606741573,0.5,0.666666666666667,0.526315789473684,0.5,0.493150684931507,0.15,0.44954128440367,0.428571428571429,"H",2.1,3.4,3.5
"3063","EPL",0.617977528089888,0.65,0.666666666666667,0.555555555555556,0.533898305084746,0.534246575342466,0.366666666666667,0.513761467889908,0.408163265306122,"A",2.88,3.25,2.5
"3064","EPL",0.629213483146067,0.5,0.4,1.25,0.644067796610169,0.602739726027397,0.666666666666667,0.394495412844037,0.244897959183673,"H",1.91,3.4,4.2
"3065","EPL",0.853932584269663,0.25,0.666666666666667,0.0625,0.669491525423729,0.643835616438356,0.683333333333333,0.467889908256881,0.326530612244898,"D",5,3.6,1.73
"3066","EPL",0.370786516853933,0.3,0.133333333333333,9,0.457627118644068,0.356164383561644,0.55,0.577981651376147,0.346938775510204,"H",1.33,4.5,9
"3067","EPL",0.606741573033708,0.35,0.6,0.875,0.398305084745763,0.356164383561644,0.2,0.605504587155963,0.326530612244898,"D",2.1,3.1,3.6
"3068","EPL",0.51685393258427,0.3,0.4,0.444444444444444,0.644067796610169,0.547945205479452,0.5,0.458715596330275,0.285714285714286,"H",2.2,3.4,3.25
"3069","EPL",0.415730337078652,0.25,0.333333333333333,1.7,0.415254237288136,0.315068493150685,0.616666666666667,0.577981651376147,0.408163265306122,"A",2.5,3.25,2.88
"3070","EPL",0.573033707865168,0.4,0.666666666666667,0.583333333333333,0.372881355932203,0.342465753424658,0.6,0.522935779816514,0.448979591836735,"H",2.63,3.25,2.75
"3071","EPL",0.471910112359551,0.3,0.533333333333333,4.66666666666667,0.525423728813559,0.452054794520548,0.6,0.348623853211009,0.204081632653061,"A",1.36,5,8.5
"3072","EPL",0.50561797752809,0.45,0.466666666666667,0.6,0.542372881355932,0.410958904109589,0.466666666666667,0.614678899082569,0.326530612244898,"A",2.2,3.25,3.4
"3073","EPL",0.49438202247191,0.15,0.333333333333333,5,0.449152542372881,0.438356164383562,0.533333333333333,0.431192660550459,0.326530612244898,"D",1.25,6,11
"3074","EPL",0.629213483146067,0.35,0.2,1.2,0.686440677966102,0.589041095890411,0.633333333333333,0.36697247706422,0.244897959183673,"A",1.73,3.8,4.75
"3075","EPL",0.370786516853933,0.15,0.0666666666666667,1.05263157894737,0.584745762711864,0.561643835616438,0.566666666666667,0.422018348623853,0.244897959183673,"H",2.1,3.4,3.5
"3076","EPL",0.51685393258427,0.45,0.533333333333333,2.25,0.440677966101695,0.397260273972603,0.5,0.504587155963303,0.408163265306122,"H",1.36,4.75,9
"3077","EPL",0.651685393258427,0.7,0.666666666666667,0.5,0.516949152542373,0.493150684931507,0.45,0.541284403669725,0.408163265306122,"H",3.2,3.4,2.25
"3078","EPL",0.764044943820225,0.4,0.8,0.333333333333333,0.542372881355932,0.506849315068493,0.433333333333333,0.513761467889908,0.36734693877551,"A",5,3.75,1.7
"3079","EPL",0.797752808988764,0.55,0.666666666666667,0.285714285714286,0.703389830508475,0.63013698630137,0.45,0.532110091743119,0.489795918367347,"H",3.1,3.25,2.38
"3080","EPL",0.752808988764045,0.35,0.266666666666667,0.5,0.652542372881356,0.520547945205479,0.6,0.559633027522936,0.448979591836735,"D",3.75,3.6,1.95
"3081","EPL",0.438202247191011,0.35,0.4,18,0.576271186440678,0.506849315068493,0.4,0.63302752293578,0.285714285714286,"H",1.6,4,5.5
"3082","EPL",0.51685393258427,0.35,0.466666666666667,0.846153846153846,0.491525423728814,0.397260273972603,0.216666666666667,0.458715596330275,0.428571428571429,"D",2,3.5,3.75
"3083","EPL",0.438202247191011,0.5,0.533333333333333,1.9,0.5,0.479452054794521,0.4,0.467889908256881,0.285714285714286,"A",2.75,3.6,2.4
"3084","EPL",0.438202247191011,0.15,0.0666666666666667,3.4,0.305084745762712,0.191780821917808,0.216666666666667,0.477064220183486,0.530612244897959,"H",1.53,4,6.5
"3085","EPL",0.49438202247191,0.35,0.4,0.7,0.516949152542373,0.493150684931507,0.516666666666667,0.422018348623853,0.0816326530612245,"A",2,3.5,3.75
"3086","EPL",0.449438202247191,0.15,0.333333333333333,0.9375,0.398305084745763,0.301369863013699,0.216666666666667,0.587155963302752,0.408163265306122,"A",2.2,3,3.75
"3087","EPL",0.617977528089888,0.3,0.4,1.5,0.627118644067797,0.575342465753425,0.55,0.577981651376147,0.469387755102041,"D",2,3.3,3.6
"3088","EPL",1.0561797752809,0.45,0.866666666666667,0.0833333333333333,0.432203389830508,0.36986301369863,0.166666666666667,0.477064220183486,0.244897959183673,"D",3.2,3.25,2.2
"3089","EPL",0.438202247191011,0.15,0.133333333333333,0.941176470588235,0.466101694915254,0.438356164383562,0.516666666666667,0.513761467889908,0.163265306122449,"H",2.1,3.25,3.4
"3090","EPL",0.831460674157303,0.4,0.466666666666667,0.157894736842105,0.796610169491525,0.767123287671233,0.666666666666667,0.559633027522936,0.530612244897959,"A",2.37,3.6,2.62
"3091","EPL",0.539325842696629,0.3,0.4,0.785714285714286,0.813559322033898,0.849315068493151,0.566666666666667,0.513761467889908,0.163265306122449,"H",2.25,3.3,3
"3092","EPL",0.460674157303371,0.2,0.333333333333333,1.55555555555556,0.516949152542373,0.356164383561644,0.5,0.669724770642202,0.510204081632653,"D",1.57,3.5,6.5
"3093","EPL",0.0337078651685393,0.4,0.2,1.23076923076923,0.449152542372881,0.479452054794521,0.433333333333333,0.587155963302752,0.551020408163265,"H",1.44,4.5,7
"3094","EPL",0.0561797752808989,0.15,0.333333333333333,3.66666666666667,0.440677966101695,0.36986301369863,0.416666666666667,0.256880733944954,0.163265306122449,"H",1.2,6.5,15
"3095","EPL",0.0786516853932584,0.2,0.466666666666667,1.14285714285714,0.474576271186441,0.342465753424658,0.483333333333333,0.422018348623853,0.489795918367347,"H",1.36,4.5,10
"3096","EPL",0.0449438202247191,0.35,0.266666666666667,3.5,0.508474576271186,0.410958904109589,0.416666666666667,0.642201834862385,0.489795918367347,"H",1.83,3.5,4.5
"3097","EPL",0.168539325842697,1.05,1,0.2,0.745762711864407,0.780821917808219,0.5,0.385321100917431,0.285714285714286,"D",6.5,4,1.53
"3098","EPL",0.0337078651685393,0.2,0.2,0.944444444444444,0.542372881355932,0.561643835616438,0.55,0.412844036697248,0.36734693877551,"D",2.3,3.25,3.25
"3099","EPL",0.0786516853932584,0.3,0.466666666666667,0.666666666666667,0.406779661016949,0.232876712328767,0.383333333333333,0.559633027522936,0.408163265306122,"D",2.3,3.25,3.2
"3100","EPL",0.0561797752808989,0.3,0.333333333333333,1.08333333333333,0.542372881355932,0.452054794520548,0.4,0.559633027522936,0.510204081632653,"H",2.5,3.4,2.8
"3101","EPL",0.0561797752808989,0.2,0.266666666666667,2.5,0.389830508474576,0.36986301369863,0.466666666666667,0.559633027522936,0.469387755102041,"H",1.62,3.75,6
