"","league","cumPoints","Goals","Points","Standing","Shots","ShotsOnTarget","Corners","Fouls","DP","results","B365H","B365D","B365A"
"1554","SPD",0.391752577319588,0.269230769230769,0.533333333333333,0.923076923076923,0.475,0.355932203389831,0.274509803921569,0.631205673758865,0.393939393939394,"D",2.25,3.4,3.1
"1555","SPD",0.814432989690722,0.461538461538462,0.6,0.142857142857143,0.875,0.694915254237288,0.725490196078431,0.553191489361702,0.515151515151515,"A",5.5,4,1.57
"1556","SPD",0.422680412371134,0.115384615384615,0.266666666666667,0.6875,0.4,0.271186440677966,0.392156862745098,0.475177304964539,0.53030303030303,"D",2.63,3.4,2.6
"1557","SPD",0.494845360824742,0.269230769230769,0.666666666666667,0.2,0.483333333333333,0.389830508474576,0.431372549019608,0.482269503546099,0.545454545454545,"H",2.6,3.2,2.75
"1558","SPD",0.412371134020619,0.423076923076923,0.4,4,0.591666666666667,0.525423728813559,0.549019607843137,0.595744680851064,0.393939393939394,"H",1.5,4.2,6.5
"1559","SPD",0.381443298969072,0.230769230769231,0.466666666666667,0.736842105263158,0.425,0.254237288135593,0.490196078431373,0.652482269503546,0.560606060606061,"A",2.7,3.2,2.63
"1560","SPD",0.288659793814433,0.269230769230769,0.666666666666667,1.8,0.5,0.305084745762712,0.352941176470588,0.666666666666667,0.833333333333333,"H",1.44,4.33,7
"1561","SPD",0.34020618556701,0.307692307692308,0.4,0.625,0.35,0.305084745762712,0.294117647058824,0.624113475177305,0.621212121212121,"A",2.4,3.2,2.87
"1562","SPD",0.515463917525773,0.384615384615385,0.666666666666667,0.176470588235294,0.683333333333333,0.559322033898305,0.705882352941177,0.347517730496454,0.272727272727273,"H",2.5,3.3,2.8
"1563","SPD",0.804123711340206,0.653846153846154,1,0.4,0.7,0.711864406779661,0.862745098039216,0.347517730496454,0.454545454545455,"A",15,6,1.2
"1564","SPD",0.288659793814433,0.269230769230769,0.266666666666667,18,0.708333333333333,0.406779661016949,0.607843137254902,0.687943262411348,0.545454545454545,"H",1.06,11,29
"1565","SPD",0.412371134020619,0.269230769230769,0.466666666666667,1.71428571428571,0.45,0.305084745762712,0.549019607843137,0.673758865248227,0.393939393939394,"H",1.67,3.8,5
